job_title,company,industry,location,required_skills,experience_level,salary_range,job_description,posting_date,demand_label,Certificates
Backend Developer,Company_30,IT,Chennai,"Python, Deep Learning, NLP",Fresher,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-05,High,None
Business Analyst,Company_227,E-commerce,Hyderabad,"Linux, Networking, Security",Senior,9-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-08,High,None
Backend Developer,Company_396,Healthcare,Mumbai,"Java, Spring, Microservices",Fresher,8-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-18,Low,None
Data Analyst,Company_238,Automobile,Hyderabad,"Power BI, Excel, SQL",Mid,9-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-23,Medium,Google Data Analytics Certificate
Backend Developer,Company_190,Finance,Mumbai,"Linux, Networking, Security",Mid,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-05,High,None
Frontend Developer,Company_70,Manufacturing,Delhi,"AWS, Docker, Kubernetes",Mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-27,Medium,None
Cloud Engineer,Company_315,IT,Mumbai,"Python, Data Analysis, Statistics",Junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-06,Low,AWS Certified Solutions Architect
Cloud Engineer,Company_80,Manufacturing,Chennai,"Power BI, Excel, SQL",Fresher,7-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-19,High,AWS Certified Solutions Architect
Business Analyst,Company_15,Automobile,Delhi,"Python, SQL, Machine Learning",Senior,9-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-25,Low,None
ML Engineer,Company_174,E-commerce,Hyderabad,"Python, SQL, Machine Learning",Senior,6-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-28,Low,None
Data Scientist,Company_178,IT,Delhi,"Java, Spring, Microservices",Junior,7-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-13,High,Certified Data Scientist
Product Manager,Company_112,Education,Mumbai,"Python, SQL, Machine Learning",Junior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-08,Low,None
Data Scientist,Company_84,Education,Hyderabad,"Linux, Networking, Security",Senior,7-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-29,High,Certified Data Scientist
Cloud Engineer,Company_443,Healthcare,Mumbai,"Python, SQL, Machine Learning",Fresher,8-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-20,High,AWS Certified Solutions Architect
Cloud Engineer,Company_314,E-commerce,Kolkata,"JavaScript, React, HTML, CSS",Senior,3-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-04,Low,AWS Certified Solutions Architect
DevOps Engineer,Company_109,Telecom,Mumbai,"Python, Data Analysis, Statistics",Fresher,3-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-10,Medium,None
Software Developer,Company_414,Finance,Kolkata,"Power BI, Excel, SQL",Mid,4-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-12,Medium,None
DevOps Engineer,Company_34,Automobile,Mumbai,"Power BI, Excel, SQL",Mid,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-03,High,None
Data Analyst,Company_423,Manufacturing,Hyderabad,"Python, Data Analysis, Statistics",Fresher,3-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-04,High,Google Data Analytics Certificate
Software Developer,Company_191,E-commerce,Kolkata,"Java, Spring, Microservices",Senior,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-19,Low,None
DevOps Engineer,Company_463,E-commerce,Remote,"Java, Spring, Microservices",Mid,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-05,Low,None
Data Scientist,Company_342,Education,Kolkata,"Python, Deep Learning, NLP",Senior,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-11,High,Certified Data Scientist
Cyber Security Analyst,Company_488,Telecom,Mumbai,"Java, Spring, Microservices",Mid,4-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-13,Medium,Cybersecurity Essentials
Cyber Security Analyst,Company_394,Finance,Kolkata,"Python, Deep Learning, NLP",Senior,3-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,High,Cybersecurity Essentials
Data Analyst,Company_293,Education,Mumbai,"Python, SQL, Machine Learning",Junior,6-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-24,Medium,Google Data Analytics Certificate
Business Analyst,Company_11,Manufacturing,Remote,"Java, Spring, Microservices",Senior,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-20,Low,None
Software Developer,Company_201,Healthcare,Bangalore,"Java, Spring, Microservices",Mid,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-19,Medium,None
Cyber Security Analyst,Company_163,Finance,Chennai,"Power BI, Excel, SQL",Senior,6-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-21,Low,Cybersecurity Essentials
Cloud Engineer,Company_345,Automobile,Delhi,"Python, SQL, Machine Learning",Junior,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-18,High,AWS Certified Solutions Architect
Business Analyst,Company_316,Automobile,Delhi,"Linux, Networking, Security",Senior,10-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-24,Low,None
Data Analyst,Company_282,E-commerce,Bangalore,"Python, SQL, Machine Learning",Fresher,10-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-03,High,Google Data Analytics Certificate
AI Engineer,Company_309,E-commerce,Bangalore,"JavaScript, React, HTML, CSS",Mid,7-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-15,Medium,None
Backend Developer,Company_456,E-commerce,Chennai,"JavaScript, React, HTML, CSS",Fresher,10-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-29,Medium,None
DevOps Engineer,Company_231,Healthcare,Pune,"Python, Data Analysis, Statistics",Mid,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-21,Medium,None
ML Engineer,Company_54,Finance,Hyderabad,"Linux, Networking, Security",Fresher,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-26,Medium,None
Cyber Security Analyst,Company_370,Healthcare,Bangalore,"Power BI, Excel, SQL",Senior,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-20,Medium,Cybersecurity Essentials
DevOps Engineer,Company_180,E-commerce,Pune,"Power BI, Excel, SQL",Junior,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-11,High,None
Business Analyst,Company_140,Telecom,Remote,"Python, Deep Learning, NLP",Junior,7-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-25,High,None
DevOps Engineer,Company_20,Manufacturing,Bangalore,"Python, Deep Learning, NLP",Mid,5-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-19,Medium,None
Cyber Security Analyst,Company_70,Education,Pune,"JavaScript, React, HTML, CSS",Mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-23,Medium,Cybersecurity Essentials
Business Analyst,Company_147,Finance,Hyderabad,"Python, Deep Learning, NLP",Mid,7-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-31,High,None
Data Analyst,Company_244,Automobile,Mumbai,"AWS, Docker, Kubernetes",Senior,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-23,Low,Google Data Analytics Certificate
Frontend Developer,Company_68,IT,Delhi,"Linux, Networking, Security",Junior,7-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-20,Low,None
Backend Developer,Company_240,IT,Kolkata,"AWS, Docker, Kubernetes",Senior,5-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-31,High,None
ML Engineer,Company_213,Finance,Hyderabad,"JavaScript, React, HTML, CSS",Senior,7-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-04,Medium,None
DevOps Engineer,Company_333,Education,Bangalore,"Java, Spring, Microservices",Junior,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-24,Medium,None
Business Analyst,Company_130,Manufacturing,Hyderabad,"JavaScript, React, HTML, CSS",Fresher,4-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-23,Medium,None
Backend Developer,Company_222,Education,Kolkata,"Java, Spring, Microservices",Junior,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-13,Medium,None
ML Engineer,Company_185,E-commerce,Pune,"JavaScript, React, HTML, CSS",Junior,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-03,High,None
Cloud Engineer,Company_334,Manufacturing,Chennai,"Java, Spring, Microservices",Senior,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-20,Low,AWS Certified Solutions Architect
Data Scientist,Company_456,IT,Hyderabad,"Power BI, Excel, SQL",Senior,3-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-16,Low,Certified Data Scientist
Frontend Developer,Company_259,Finance,Pune,"Python, Deep Learning, NLP",Senior,5-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-13,High,None
DevOps Engineer,Company_384,Healthcare,Chennai,"JavaScript, React, HTML, CSS",Junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-09,High,None
Frontend Developer,Company_342,Finance,Delhi,"JavaScript, React, HTML, CSS",Mid,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-06,Low,None
ML Engineer,Company_386,Healthcare,Mumbai,"Python, Deep Learning, NLP",Junior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-22,Low,None
Product Manager,Company_143,E-commerce,Mumbai,"Python, Data Analysis, Statistics",Mid,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-02,Low,None
Software Developer,Company_157,Automobile,Bangalore,"Java, Spring, Microservices",Fresher,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-05,Medium,None
Cloud Engineer,Company_34,Healthcare,Hyderabad,"AWS, Docker, Kubernetes",Fresher,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-13,High,AWS Certified Solutions Architect
Software Developer,Company_377,E-commerce,Kolkata,"AWS, Docker, Kubernetes",Fresher,9-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-29,Low,None
Cloud Engineer,Company_459,Manufacturing,Mumbai,"Power BI, Excel, SQL",Junior,9-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-12,High,AWS Certified Solutions Architect
Backend Developer,Company_392,Education,Remote,"Python, Data Analysis, Statistics",Junior,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-15,Low,None
Data Scientist,Company_165,IT,Mumbai,"Linux, Networking, Security",Fresher,4-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-23,Medium,Certified Data Scientist
Cyber Security Analyst,Company_367,Healthcare,Delhi,"AWS, Docker, Kubernetes",Fresher,4-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-13,Low,Cybersecurity Essentials
Software Developer,Company_246,IT,Pune,"Java, Spring, Microservices",Fresher,8-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-20,Medium,None
Frontend Developer,Company_123,Healthcare,Pune,"Python, Deep Learning, NLP",Senior,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-25,Low,None
Data Analyst,Company_57,Manufacturing,Hyderabad,"Linux, Networking, Security",Fresher,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-30,Low,Google Data Analytics Certificate
Data Analyst,Company_159,IT,Kolkata,"Java, Spring, Microservices",Senior,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-11,High,Google Data Analytics Certificate
Backend Developer,Company_341,Healthcare,Chennai,"Python, Deep Learning, NLP",Mid,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-13,Low,None
Cloud Engineer,Company_233,Automobile,Mumbai,"Java, Spring, Microservices",Senior,5-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-15,Medium,AWS Certified Solutions Architect
Business Analyst,Company_201,Manufacturing,Mumbai,"Java, Spring, Microservices",Mid,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-24,High,None
Product Manager,Company_457,Healthcare,Mumbai,"JavaScript, React, HTML, CSS",Junior,8-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-14,Medium,None
ML Engineer,Company_419,Automobile,Delhi,"Linux, Networking, Security",Mid,5-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-06,Low,None
Cyber Security Analyst,Company_444,Telecom,Chennai,"Power BI, Excel, SQL",Mid,10-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-13,Medium,Cybersecurity Essentials
Cyber Security Analyst,Company_196,Manufacturing,Remote,"Power BI, Excel, SQL",Senior,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-25,High,Cybersecurity Essentials
AI Engineer,Company_7,Automobile,Mumbai,"Java, Spring, Microservices",Mid,4-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-25,Medium,None
Cloud Engineer,Company_461,Manufacturing,Delhi,"AWS, Docker, Kubernetes",Senior,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-26,Medium,AWS Certified Solutions Architect
Product Manager,Company_310,Automobile,Bangalore,"AWS, Docker, Kubernetes",Junior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-05,Medium,None
Data Scientist,Company_87,Healthcare,Hyderabad,"Java, Spring, Microservices",Senior,8-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-06,Low,Certified Data Scientist
Cyber Security Analyst,Company_208,E-commerce,Kolkata,"Java, Spring, Microservices",Fresher,5-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-22,Medium,Cybersecurity Essentials
Data Scientist,Company_3,Automobile,Kolkata,"Power BI, Excel, SQL",Junior,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-05,High,Certified Data Scientist
Software Developer,Company_442,E-commerce,Pune,"Java, Spring, Microservices",Mid,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-16,Medium,None
AI Engineer,Company_471,Finance,Delhi,"Python, Data Analysis, Statistics",Fresher,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-14,Medium,None
Software Developer,Company_414,E-commerce,Hyderabad,"Linux, Networking, Security",Fresher,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-14,Medium,None
DevOps Engineer,Company_275,E-commerce,Pune,"Python, Data Analysis, Statistics",Fresher,8-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-21,Low,None
Cyber Security Analyst,Company_3,IT,Bangalore,"Python, Deep Learning, NLP",Fresher,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-06,High,Cybersecurity Essentials
ML Engineer,Company_212,Finance,Kolkata,"Python, Data Analysis, Statistics",Fresher,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-02,High,None
Backend Developer,Company_22,Healthcare,Delhi,"Java, Spring, Microservices",Junior,7-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-01,Low,None
AI Engineer,Company_383,Manufacturing,Pune,"Python, Data Analysis, Statistics",Senior,9-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-16,High,None
Backend Developer,Company_291,Automobile,Delhi,"JavaScript, React, HTML, CSS",Senior,8-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-30,Medium,None
